sl_no,project_code,legacy_ocms_code,pmgid,project_name,state,implementing_agency,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
1,612786,N04000106,,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Andhra Pradesh,Airport Authority of India [AAI],2023-03,2026-01,2026-07,265.91,265.91,142.62,70,2026-05,FlashReport_May2026.pdf
2,701107,N04000091,4353,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Andhra Pradesh,Airport Authority of India [AAI],2020-06,2022-09,2026-10,611.8,611.8,523.14,87.2,2026-05,FlashReport_May2026.pdf
3,701121,N04000103,,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Andhra Pradesh,Airport Authority of India [AAI],2022-12,2025-08,2026-06,347.15,347.15,189.48,92,2026-05,FlashReport_May2026.pdf
4,706724,N04000083,9925,Guwahati Airport New Integrated Terminal Building Construction Project,Assam,Adani Airport Holdings Limited,2016-12,2025-03,2026-06,1712,2520,2639.99,98.5,2026-05,FlashReport_May2026.pdf
5,612183,,9918,Development of New Civil Enclave at Bihta,Bihar,Airport Authority of India [AAI],2024-08,2027-03,,1413,1413,7.64,2.43,2026-05,FlashReport_May2026.pdf
6,612194,N04000112,9917,Development of New Civil Enclave and associated works at Darbhanga Airport,Bihar,Airport Authority of India [AAI],2024-07,2026-07,2026-11,911.66,911.66,386.24,68.01,2026-05,FlashReport_May2026.pdf
7,701101,N04000082,4356,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Bihar,Airport Authority of India [AAI],2018-10,2026-05,2026-08,1216.9,1216.9,1201.92,98.51,2026-05,FlashReport_May2026.pdf
8,701105,N04000095,4831,Goa Airport Terminal Building Extension Project,Goa,Airport Authority of India [AAI],2017-11,2021-12,2026-04,255.69,255.69,158.78,100,2026-05,FlashReport_May2026.pdf
9,619054,,,Development of Keshod Airport.,Gujarat,Airport Authority of India [AAI],2024-01,2027-01,,363.1,363.1,87.88,38.18,2026-05,FlashReport_May2026.pdf
10,701126,N04000099,3366,"Development of Dholera International Greenfield Airport , Gujarat",Gujarat,Airport Authority of India [AAI],2022-06,2026-06,2026-09,1305,1551,922.78,84,2026-05,FlashReport_May2026.pdf
11,611047,N04000107,9921,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Jammu and Kashmir,Airport Authority of India [AAI],2023-10,2026-06,2026-11,861.37,861.37,327.3,52.95,2026-05,FlashReport_May2026.pdf
12,612787,N04000108,,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Karnataka,Airport Authority of India [AAI],2023-06,2026-01,2026-06,320.47,320.47,158.36,81.5,2026-05,FlashReport_May2026.pdf
13,612788,N04000105,,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Karnataka,Airport Authority of India [AAI],2023-06,2026-02,2026-06,322.45,322.45,214.29,91,2026-05,FlashReport_May2026.pdf
14,612789,N04000111,,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Kerala,Airport Authority of India [AAI],2023-06,2025-09,2026-12,484.57,484.57,227.5,62.5,2026-05,FlashReport_May2026.pdf
15,400010,N04000078,4665,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Ladakh,Airport Authority of India [AAI],2018-07,2021-09,2026-07,480,640,506.13,79.2,2026-05,FlashReport_May2026.pdf
16,706718,N04000100,,C/o NITB Imphal Airport,Manipur,Airport Authority of India [AAI],2021-11,2024-07,2026-12,499,499,206.61,51.65,2026-05,FlashReport_May2026.pdf
17,611570,,,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL","Multi-States (Karnataka, Maharashtra, Telangana, Uttar Pradesh)",Airport Authority of India [AAI],2020-12,2025-09,2026-08,500.48,500.48,393.31,79,2026-05,FlashReport_May2026.pdf
18,618977,,10781,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",Rajasthan,Airport Authority of India [AAI],2025-08,2027-10,2027-11,1507,1507,46.66,13.1,2026-05,FlashReport_May2026.pdf
19,701127,N04000101,,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Rajasthan,Airport Authority of India [AAI],2022-06,2026-03,2026-06,480,480,345.45,97.85,2026-05,FlashReport_May2026.pdf
20,701128,N04000104,4363,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Rajasthan,Airport Authority of India [AAI],2023-06,2026-03,2026-09,887,887,538,71.71,2026-05,FlashReport_May2026.pdf
21,612793,N04000110,,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Sikkim,Airport Authority of India [AAI],2023-11,2026-06,2027-06,323.26,323.26,80.94,35.55,2026-05,FlashReport_May2026.pdf
22,611602,,5163,"Modernization of Chennai Airport, Phase II, Part 2",Tamil Nadu,Airport Authority of India [AAI],2018-05,2025-07,2026-12,1207,1207,310.98,41,2026-05,FlashReport_May2026.pdf
23,701113,N04000114,9932,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",Uttar Pradesh,Airport Authority of India [AAI],2024-07,2027-07,2027-07,2869.65,2869.65,626.15,29,2026-05,FlashReport_May2026.pdf
24,701122,N04000113,9931,Development of New Integrated Civil Enclave at Agra Airport,Uttar Pradesh,Airport Authority of India [AAI],2024-06,2026-07,2026-11,579,579,208.68,41.71,2026-05,FlashReport_May2026.pdf
